"id","distributor","invoice","date","isbn","title","author","qty","rrp","disc","lineCost","lineRRP","publisher"
21,"Macmillan Distribution (MDL)",56823047,"11-Apr-24",9783967041248,"Prefab and Modular","gestalten",1,45,45,24.75,45,"undefined"
22,"Macmillan Distribution (MDL)",57807436,"27-May-24",9783967041248,"Prefab and Modular","gestalten",1,45,45,24.75,45,"undefined"
23,"Macmillan Distribution (MDL)",59763479,"22-Aug-24",9783967041149,"Beautiful Machines - The Italians","Gestalten",1,55,45,30.25,55,"Die Gestalten Verlag"
24,"Macmillan Distribution (MDL)",61411150,"28-Oct-24",9783967041149,"Beautiful Machines - The Italians","Gestalten",1,55,45,30.25,55,"Die Gestalten Verlag"
25,"Macmillan Distribution (MDL)",62281986,"05-Dec-24",9783967041149,"Beautiful Machines - The Italians","Gestalten",1,55,45,30.25,55,"Die Gestalten Verlag"
26,"Macmillan Distribution (MDL)",55170627,"05-Feb-24",9783967041033,"Wanderlust British & Irish Isles","Gestalten And Alex Roddie",1,40,45,22,40,"Die Gestalten Verlag"
27,"Macmillan Distribution (MDL)",57661679,"22-May-24",9783967041033,"Wanderlust British & Irish Isles","Gestalten And Alex Roddie",1,40,45,22,40,"Die Gestalten Verlag"
28,"Macmillan Distribution (MDL)",58474023,"24-Jun-24",9783967041033,"Wanderlust British & Irish Isles","Gestalten And Alex Roddie",1,40,45,22,40,"Die Gestalten Verlag"
29,"Macmillan Distribution (MDL)",56823047,"11-Apr-24",9783967041026,"The Nature of Swimming","gestalten",1,40,45,22,40,"Die Gestalten Verlag"
30,"Macmillan Distribution (MDL)",56823047,"11-Apr-24",9783967041026,"The Nature of Swimming","gestalten",1,40,45,22,40,"Die Gestalten Verlag"
31,"Macmillan Distribution (MDL)",62281986,"05-Dec-24",9783967041026,"The Nature of Swimming","gestalten",1,40,45,22,40,"Die Gestalten Verlag"
32,"Macmillan Distribution (MDL)",55730584,"29-Feb-24",9783967040906,"Living To The Max","Gestalten",1,50,45,27.5,50,"Die Gestalten Verlag"
33,"Macmillan Distribution (MDL)",59632102,"19-Aug-24",9783967040586,"The Surf Atlas","Gartside",1,45,45,24.75,45,"Die Gestalten Verlag"
34,"Macmillan Distribution (MDL)",57881334,"30-May-24",9783967040555,"Soft Minimal","Norm",2,55,45,60.5,110,"Die Gestalten Verlag"
35,"Macmillan Distribution (MDL)",62566565,"18-Dec-24",9783967040500,"Two Years On A Bike","Doolaard",1,45,45,24.75,45,"Die Gestalten Verlag"
36,"Macmillan Distribution (MDL)",55896725,"06-Mar-24",9783967040135,"Bikepacking","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
37,"Macmillan Distribution (MDL)",61551351,"04-Nov-24",9783967040135,"Bikepacking","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
38,"Macmillan Distribution (MDL)",62171072,"02-Dec-24",9783967040135,"Bikepacking","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
39,"Macmillan Distribution (MDL)",60807522,"02-Oct-24",9783899559972,"Sailing The Seas","Gestalten",1,40,45,22,40,"Die Gestalten Verlag"
40,"Macmillan Distribution (MDL)",57203913,"29-Apr-24",9783899559552,"The Hidden Tracks","Gestalten",1,40,45,22,40,"gestalten"
41,"Macmillan Distribution (MDL)",60664187,"29-Sep-24",9783899559552,"The Hidden Tracks","Gestalten",1,40,45,22,40,"gestalten"
42,"Macmillan Distribution (MDL)",55300997,"12-Feb-24",9783899559385,"Hit The Road","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
43,"Macmillan Distribution (MDL)",58474023,"24-Jun-24",9783899559385,"Hit The Road","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
44,"Macmillan Distribution (MDL)",61607594,"06-Nov-24",9783899559385,"Hit The Road","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
45,"Macmillan Distribution (MDL)",62335679,"08-Dec-24",9783899559385,"Hit The Road","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
46,"Macmillan Distribution (MDL)",54633844,"11-Jan-24",9783899558661,"Wanderlust Europe","Gestalten And Alex Roddie",1,40,45,22,40,"Die Gestalten Verlag"
47,"Macmillan Distribution (MDL)",57635554,"21-May-24",9783899558593,"Out Of The Woods","Gestalten",1,35,45,19.25,35,"Die Gestalten Verlag"
48,"Macmillan Distribution (MDL)",55392905,"15-Feb-24",9783899555608,"Cosy Homes / The Monocle Guide To","Monocle",1,40,45,22,40,"gestalten"
49,"Macmillan Distribution (MDL)",54611905,"10-Jan-24",9782374951355,"My Neighbor Hayao: Art Inspired by","Spoke Art Gallery Takash",1,21.99,45,12.09,21.99,"Cernunnos"
50,"Macmillan Distribution (MDL)",55170627,"05-Feb-24",9782374951355,"My Neighbor Hayao: Art Inspired by","Spoke Art Gallery Takash",1,21.99,45,12.09,21.99,"Cernunnos"
51,"Macmillan Distribution (MDL)",55461915,"20-Feb-24",9782374951355,"My Neighbor Hayao: Art Inspired by","Spoke Art Gallery Takash",1,21.99,45,12.09,21.99,"Cernunnos"
52,"Macmillan Distribution (MDL)",56266296,"25-Mar-24",9782374951355,"My Neighbor Hayao: Art Inspired by","Spoke Art Gallery Takash",1,21.99,45,12.09,21.99,"Cernunnos"
53,"Macmillan Distribution (MDL)",57145638,"25-Apr-24",9782374951355,"My Neighbor Hayao: Art Inspired by","Spoke Art Gallery Takash",1,21.99,45,12.09,21.99,"Cernunnos"
54,"Macmillan Distribution (MDL)",59417171,"06-Aug-24",9782374951355,"My Neighbor Hayao: Art Inspired by","Spoke Art Gallery Takash",1,21.99,45,12.09,21.99,"Cernunnos"
55,"Macmillan Distribution (MDL)",62512333,"16-Dec-24",9782374951355,"My Neighbor Hayao: Art Inspired by","Spoke Art Gallery Takash",1,21.99,45,12.09,21.99,"Cernunnos"
56,"Macmillan Distribution (MDL)",54995770,"29-Jan-24",9781999747145,"Big Ideas for Curious Minds","The School of Life",1,20,50,10,20,"The School of Life Press"
57,"Macmillan Distribution (MDL)",56266296,"25-Mar-24",9781999747145,"Big Ideas for Curious Minds","The School of Life",1,20,50,10,20,"The School of Life Press"
58,"Macmillan Distribution (MDL)",58306333,"17-Jun-24",9781999747145,"Big Ideas for Curious Minds","The School of Life",1,20,50,10,20,"The School of Life Press"
59,"Macmillan Distribution (MDL)",61551351,"04-Nov-24",9781999747145,"Big Ideas for Curious Minds","The School of Life",1,20,50,10,20,"The School of Life Press"
60,"Macmillan Distribution (MDL)",62335679,"08-Dec-24",9781999747145,"Big Ideas for Curious Minds","The School of Life",1,20,50,10,20,"The School of Life Press"
61,"Macmillan Distribution (MDL)",55024388,"01-Feb-24",9781951836733,"Sorens Seventh Song","Eggers Dave",1,13.99,45,7.69,13.99,"Cameron + Company"
62,"Macmillan Distribution (MDL)",54484024,"02-Jan-24",9781922616999,"Istanbul Cult Recipes (mini)","Larmoyer Pomme",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
63,"Macmillan Distribution (MDL)",61726259,"12-Nov-24",9781922616999,"Istanbul Cult Recipes (mini)","Larmoyer Pomme",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
64,"Macmillan Distribution (MDL)",62139497,"29-Nov-24",9781922616999,"Istanbul Cult Recipes (mini)","Larmoyer Pomme",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
65,"Macmillan Distribution (MDL)",55463675,"20-Feb-24",9781922616982,"Tokyo Cult Recipes (mini)","Murota Maori",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
66,"Macmillan Distribution (MDL)",59505801,"12-Aug-24",9781922616982,"Tokyo Cult Recipes (mini)","Murota Maori",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
67,"Macmillan Distribution (MDL)",61411150,"28-Oct-24",9781922616982,"Tokyo Cult Recipes (mini)","Murota Maori",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
68,"Macmillan Distribution (MDL)",62512333,"16-Dec-24",9781922616982,"Tokyo Cult Recipes (mini)","Murota Maori",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
69,"Macmillan Distribution (MDL)",55463675,"20-Feb-24",9781922616975,"New York Cult Recipes (mini)","Marc Grossman",1,12.99,55,5.85,12.99,"Murdoch Books Pty Limited"
70,"Macmillan Distribution (MDL)",57092623,"01-May-24",9781922616951,"Baking With Pride","Domagala Janusz",1,22,55,9.9,22,"Murdoch Books Pty Limited"
71,"Macmillan Distribution (MDL)",54842826,"23-Jan-24",9781922616920,"Korean Home Cooking","Jung Jina",1,22,55,9.9,22,"Murdoch Books Pty Limited"
72,"Macmillan Distribution (MDL)",56802554,"10-Apr-24",9781922616920,"Korean Home Cooking","Jung Jina",1,22,55,9.9,22,"Murdoch Books Pty Limited"
73,"Macmillan Distribution (MDL)",60516234,"23-Sep-24",9781922616920,"Korean Home Cooking","Jung Jina",1,22,55,9.9,22,"Murdoch Books Pty Limited"
74,"Macmillan Distribution (MDL)",61551351,"04-Nov-24",9781922616920,"Korean Home Cooking","Jung Jina",1,22,55,9.9,22,"Murdoch Books Pty Limited"
75,"Macmillan Distribution (MDL)",59404371,"05-Aug-24",9781922616791,"Plant Society Design Handbook","Chongue Jason",1,25,55,11.25,25,"Murdoch Books Pty Limited"
76,"Macmillan Distribution (MDL)",60925932,"07-Oct-24",9781922616791,"Plant Society Design Handbook","Chongue Jason",1,25,55,11.25,25,"Murdoch Books Pty Limited"
77,"Macmillan Distribution (MDL)",56076063,"18-Mar-24",9781922616784,"A Handmade Cottage","Seymour Jodie May",1,23,55,10.35,23,"Murdoch Books Pty Limited"
78,"Macmillan Distribution (MDL)",57203913,"29-Apr-24",9781922616784,"A Handmade Cottage","Seymour Jodie May",1,23,55,10.35,23,"Murdoch Books Pty Limited"
79,"Macmillan Distribution (MDL)",58474023,"24-Jun-24",9781922616784,"A Handmade Cottage","Seymour Jodie May",1,23,55,10.35,23,"Murdoch Books Pty Limited"
80,"Macmillan Distribution (MDL)",60172128,"10-Sep-24",9781922616784,"A Handmade Cottage","Seymour Jodie May",1,23,55,10.35,23,"Murdoch Books Pty Limited"
81,"Macmillan Distribution (MDL)",54958972,"28-Jan-24",9781922616593,"Everyday Folklore","Frank Liza",1,14.99,55,6.75,14.99,"Murdoch Books Pty Limited"
82,"Macmillan Distribution (MDL)",57145638,"25-Apr-24",9781922616593,"Everyday Folklore","Frank Liza",1,14.99,55,6.75,14.99,"Murdoch Books Pty Limited"
83,"Macmillan Distribution (MDL)",59505801,"12-Aug-24",9781922616593,"Everyday Folklore","Frank Liza",1,14.99,55,6.75,14.99,"Murdoch Books Pty Limited"
84,"Macmillan Distribution (MDL)",60778239,"01-Oct-24",9781922616593,"Everyday Folklore","Frank Liza",1,14.99,55,6.75,14.99,"Murdoch Books Pty Limited"
85,"Macmillan Distribution (MDL)",55170627,"05-Feb-24",9781922616579,"Sundays","Godwin Sophie",1,20,55,9,20,"Murdoch Books Pty Limited"
86,"Macmillan Distribution (MDL)",55463675,"20-Feb-24",9781922616555,"Seasoning","Angela Clutton",1,30,55,13.5,30,"Murdoch Books Pty Limited"
87,"Macmillan Distribution (MDL)",55463675,"20-Feb-24",9781922616555,"Seasoning","Angela Clutton",1,30,55,13.5,30,"Murdoch Books Pty Limited"
88,"Macmillan Distribution (MDL)",54706310,"16-Jan-24",9781922616357,"A Whisper of Cardamom","Ford Eleanor",1,26,55,11.7,26,"Murdoch Books Pty Limited"
89,"Macmillan Distribution (MDL)",56776677,"09-Apr-24",9781922616357,"A Whisper of Cardamom","Ford Eleanor",1,26,55,11.7,26,"Murdoch Books Pty Limited"
90,"Macmillan Distribution (MDL)",60516234,"23-Sep-24",9781916753181,"What Are You Feeling?","The School of Life",1,9.99,50,5,9.99,"First Church Iam, The School of Life Ministry of Solehealism, The"
91,"Macmillan Distribution (MDL)",60516234,"23-Sep-24",9781916753167,"What Are They Feeling?","The School of Life",1,9.99,50,5,9.99,"First Church Iam, The School of Life Ministry of Solehealism, The"
92,"Macmillan Distribution (MDL)",62427336,"11-Dec-24",9781916753167,"What Are They Feeling?","The School of Life",1,9.99,50,5,9.99,"First Church Iam, The School of Life Ministry of Solehealism, The"
93,"Macmillan Distribution (MDL)",60349494,"17-Sep-24",9781916753013,"Secrets of Successful Relationships","The School of Life",2,16.99,50,16.99,33.98,"School of Life Press, The"
94,"Macmillan Distribution (MDL)",61551351,"04-Nov-24",9781916753013,"Secrets of Successful Relationships","The School of Life",1,16.99,50,8.5,16.99,"School of Life Press, The"
95,"Macmillan Distribution (MDL)",59659574,"20-Aug-24",9781916753006,"Calm in 40 Images","The School of Life",1,15.99,50,8,15.99,"School of Life Press, The"
96,"Macmillan Distribution (MDL)",60378850,"18-Sep-24",9781916745094,"Axolotl (Young Zoologist)","Jessica L. Whited",1,7.99,50,4,7.99,"St. Martin's Press"
97,"Macmillan Distribution (MDL)",55300997,"12-Feb-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
98,"Macmillan Distribution (MDL)",57965511,"04-Jun-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
99,"Macmillan Distribution (MDL)",58125541,"12-Jun-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
100,"Macmillan Distribution (MDL)",59505801,"12-Aug-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
101,"Macmillan Distribution (MDL)",60022223,"03-Sep-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
102,"Macmillan Distribution (MDL)",61076823,"14-Oct-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
103,"Macmillan Distribution (MDL)",62139497,"29-Nov-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
104,"Macmillan Distribution (MDL)",62427336,"11-Dec-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
105,"Macmillan Distribution (MDL)",62566565,"18-Dec-24",9781916180574,"Magical Creatures and Mythical Beas","Professor Mortimer Emily",1,20,45,11,20,"Magic Cat"
106,"Macmillan Distribution (MDL)",55986015,"12-Mar-24",9781915643353,"Trace of Sun","Williams Pam",1,10.99,40,6.59,10.99,"Legend Press"
107,"Macmillan Distribution (MDL)",62427336,"11-Dec-24",9781915643353,"Trace of Sun","Williams Pam",1,10.99,40,6.59,10.99,"Legend Press"
108,"Macmillan Distribution (MDL)",59690579,"21-Aug-24",9781915569677,"Troll","Stickley Frances",2,7.99,45,8.79,15.98,"Magic Cat"
109,"Macmillan Distribution (MDL)",60345790,"17-Sep-24",9781915569677,"Troll","Stickley Frances",1,7.99,45,4.39,7.99,"Magic Cat"
110,"Macmillan Distribution (MDL)",60778239,"01-Oct-24",9781915569677,"Troll","Stickley Frances",1,7.99,45,4.39,7.99,"Magic Cat"
111,"Macmillan Distribution (MDL)",62281986,"05-Dec-24",9781915569677,"Troll","Stickley Frances",1,7.99,45,4.39,7.99,"Magic Cat"
112,"Macmillan Distribution (MDL)",59828708,"01-Sep-24",9781915569592,"The Dinosaur Next Door","Litchfield David",2,12.99,45,14.29,25.98,"Magic Cat"
113,"Macmillan Distribution (MDL)",61134297,"16-Oct-24",9781915569592,"The Dinosaur Next Door","Litchfield David",1,12.99,45,7.14,12.99,"Magic Cat"
114,"Macmillan Distribution (MDL)",61726259,"12-Nov-24",9781915569592,"The Dinosaur Next Door","Litchfield David",1,12.99,45,7.14,12.99,"Magic Cat"
115,"Macmillan Distribution (MDL)",62335679,"08-Dec-24",9781915569592,"The Dinosaur Next Door","Litchfield David",1,12.99,45,7.14,12.99,"Magic Cat"
116,"Macmillan Distribution (MDL)",60516234,"23-Sep-24",9781915569523,"The Yes Bunny","Parker Chris",1,14.99,45,8.24,14.99,"Magic Cat"
117,"Macmillan Distribution (MDL)",57696014,"23-May-24",9781915569516,"Off They Run","Cotton Katie",1,7.99,45,4.39,7.99,"Magic Cat"
118,"Macmillan Distribution (MDL)",62549075,"17-Dec-24",9781915569486,"Letters from the North Pole","Atkins Annie",3,16.99,45,28.03,50.97,"Magic Cat"
119,"Macmillan Distribution (MDL)",61218318,"21-Oct-24",9781915569462,"World to Come","Robert Macfarlane",2,12.99,45,14.29,25.98,"Magic Cat"
120,"Macmillan Distribution (MDL)",61218318,"21-Oct-24",9781915569462,"World to Come","Robert Macfarlane",1,12.99,45,7.14,12.99,"Magic Cat"
121,"Macmillan Distribution (MDL)",62370717,"09-Dec-24",9781915569462,"World to Come","Robert Macfarlane",1,12.99,45,7.14,12.99,"Magic Cat"
122,"Macmillan Distribution (MDL)",55170627,"05-Feb-24",9781915569417,"The Book of Blast Off!","Knapman Timothy",5,7.99,45,21.97,39.95,"Magic Cat"
123,"Macmillan Distribution (MDL)",55461915,"20-Feb-24",9781915569417,"The Book of Blast Off!","Knapman Timothy",1,7.99,45,4.39,7.99,"Magic Cat"
124,"Macmillan Distribution (MDL)",59417171,"06-Aug-24",9781915569417,"The Book of Blast Off!","Knapman Timothy",1,7.99,45,4.39,7.99,"Magic Cat"
125,"Macmillan Distribution (MDL)",60174759,"10-Sep-24",9781915569318,"The Life Changing Magic of Baking","Wilson Joy",1,12.99,45,7.14,12.99,"Magic Cat"
126,"Macmillan Distribution (MDL)",57092623,"01-May-24",9781915569295,"Fly A Childs Guide to Birds and Whe","Lindo David",3,16.99,45,28.03,50.97,"Magic Cat"
127,"Macmillan Distribution (MDL)",60925932,"07-Oct-24",9781915569295,"Fly A Childs Guide to Birds and Whe","Lindo David",1,16.99,45,9.34,16.99,"Magic Cat"
128,"Macmillan Distribution (MDL)",57378926,"07-May-24",9781915569097,"Our Story Starts in Africa","Lawrence Patrice",1,7.99,45,4.39,7.99,"Magic Cat"
129,"Macmillan Distribution (MDL)",57899462,"31-May-24",9781915569097,"Our Story Starts in Africa","Lawrence Patrice",1,7.99,45,4.39,7.99,"Magic Cat"
130,"Macmillan Distribution (MDL)",61858392,"19-Nov-24",9781915569035,"Christmas Songbook","Adele Amy",1,20,45,11,20,"Magic Cat"
131,"Macmillan Distribution (MDL)",62139497,"29-Nov-24",9781915569035,"Christmas Songbook","Adele Amy",1,20,45,11,20,"Magic Cat"
132,"Macmillan Distribution (MDL)",62335679,"08-Dec-24",9781915569035,"Christmas Songbook","Adele Amy",1,20,45,11,20,"Magic Cat"
133,"Macmillan Distribution (MDL)",62512333,"16-Dec-24",9781915569035,"Christmas Songbook","Adele Amy",1,20,45,11,20,"Magic Cat"
134,"Macmillan Distribution (MDL)",60263824,"15-Sep-24",9781915087980,"TSOL Writing Journal - Colour 2","The School of Life",2,13.33,40,16,26.66,"School of Life Press, The"
135,"Macmillan Distribution (MDL)",60263824,"15-Sep-24",9781915087973,"TSOL Writing Journal - Colour 1","The School of Life",2,13.33,40,16,26.66,"School of Life Press, The"
136,"Macmillan Distribution (MDL)",55818457,"03-Mar-24",9781915087485,"Big Ideas from Literature","The School of Life",1,20,50,10,20,"School of Life Press, The"
137,"Macmillan Distribution (MDL)",56989069,"21-Apr-24",9781915087416,"On Family","The School of Life",1,18,50,9,18,"School of Life Press, The"
138,"Macmillan Distribution (MDL)",55818457,"03-Mar-24",9781915087119,"How Ready Are You for Love?","The School of Life",1,12,50,6,12,"School of Life Press, The"
139,"Macmillan Distribution (MDL)",60516234,"23-Sep-24",9781914224225,"Madame Choi and the Monsters","Patrick Spät",1,18.99,45,10.44,18.99,"Metro Media Limited"
140,"Macmillan Distribution (MDL)",55413082,"18-Feb-24",9781914224188,"Ruins","Kuper Peter",1,18.99,45,10.44,18.99,"Metro Media Limited"
141,"Macmillan Distribution (MDL)",57965511,"04-Jun-24",9781914224188,"Ruins","Kuper Peter",1,18.99,45,10.44,18.99,"Metro Media Limited"
142,"Macmillan Distribution (MDL)",60925932,"07-Oct-24",9781913520861,"Treasure","Ferreira/Lambert",1,7.99,45,4.39,7.99,"Magic Cat"
143,"Macmillan Distribution (MDL)",54560472,"08-Jan-24",9781913520854,"Grand Old Oak and the Birthday Ball","Rachel Piercey",1,14.99,45,8.24,14.99,"Magic Cat"
144,"Macmillan Distribution (MDL)",54995770,"29-Jan-24",9781913520854,"Grand Old Oak and the Birthday Ball","Rachel Piercey",1,14.99,45,8.24,14.99,"Magic Cat"
145,"Macmillan Distribution (MDL)",54787515,"21-Jan-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
146,"Macmillan Distribution (MDL)",54958972,"28-Jan-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
147,"Macmillan Distribution (MDL)",55300997,"12-Feb-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
148,"Macmillan Distribution (MDL)",56266296,"25-Mar-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
149,"Macmillan Distribution (MDL)",57661679,"22-May-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
150,"Macmillan Distribution (MDL)",58361237,"19-Jun-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
151,"Macmillan Distribution (MDL)",58712986,"04-Jul-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
152,"Macmillan Distribution (MDL)",59417171,"06-Aug-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
153,"Macmillan Distribution (MDL)",59763479,"22-Aug-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
154,"Macmillan Distribution (MDL)",60378850,"18-Sep-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
155,"Macmillan Distribution (MDL)",61858392,"19-Nov-24",9781913520502,"First Feelings","Emily Sharratt",1,10.83,50,5.42,10.83,"undefined"
156,"Macmillan Distribution (MDL)",60778239,"01-Oct-24",9781913520489,"The Twelve Days of Christmas","Rachel  Piercey",2,7.99,45,8.79,15.98,"Magic Cat"
157,"Macmillan Distribution (MDL)",62171072,"02-Dec-24",9781913520489,"The Twelve Days of Christmas","Rachel  Piercey",1,7.99,45,4.39,7.99,"Magic Cat"
158,"Macmillan Distribution (MDL)",56118653,"19-Mar-24",9781913368920,"Leonard Cohen","Lewis Jeffrey",2,14.99,46,16.19,29.98,"Haus Publishing"
159,"Macmillan Distribution (MDL)",56776677,"09-Apr-24",9781913368876,"Leadership","McDonald Simon",1,12.99,46,7.01,12.99,"Haus Publishing"
160,"Macmillan Distribution (MDL)",56076063,"18-Mar-24",9781913172657,"Small Hours","Thomson Graeme",1,12.99,45,7.14,12.99,"Omnibus Press"
161,"Macmillan Distribution (MDL)",56076063,"18-Mar-24",9781913172657,"Small Hours","Thomson Graeme",1,12.99,45,7.14,12.99,"Omnibus Press"
162,"Macmillan Distribution (MDL)",56474883,"01-Apr-24",9781913172657,"Small Hours","Thomson Graeme",1,12.99,45,7.14,12.99,"Omnibus Press"
163,"Macmillan Distribution (MDL)",59371503,"04-Aug-24",9781913172657,"Small Hours","Thomson Graeme",2,12.99,45,14.29,25.98,"Omnibus Press"
164,"Macmillan Distribution (MDL)",61726259,"12-Nov-24",9781912934218,"Bristol and Bath Art Book The","BennettEmma",1,16.99,50,8.5,16.99,"UIT Cambridge"
165,"Macmillan Distribution (MDL)",56846020,"14-Apr-24",9781912392155,"Chinese Fairy Tales and Legends","MartensFrederick H.",1,12.99,50,6.5,12.99,"Bloomsbury Publishing Plc"
166,"Macmillan Distribution (MDL)",58125541,"12-Jun-24",9781912392155,"Chinese Fairy Tales and Legends","MartensFrederick H.",1,12.99,50,6.5,12.99,"Bloomsbury Publishing Plc"
167,"Macmillan Distribution (MDL)",55413082,"18-Feb-24",9781912217304,"HTR:How to Read Buildings HTR","Davidson CragoeCarol",1,12.99,50,6.5,12.99,"Bloomsbury Publishing Plc"
168,"Macmillan Distribution (MDL)",58474023,"24-Jun-24",9781912217304,"HTR:How to Read Buildings HTR","Davidson CragoeCarol",1,12.99,50,6.5,12.99,"Bloomsbury Publishing Plc"
